Forme,Lemme,Cat,Genre,Nb,Pers,Temps,Spec,Fonc,Gvn/Dist/Aux,Graph,Lang,Cmp,FLX,DRV,UNAMB,Ref,Sem,Info/Accent
aimeriez,aimer,V,,p,2,C,,,a,,,,AIMER
aimeraient,aimer,V,,p,3,C,,,a,,,,AIMER
aimer,aimer,V,,,,INF,,,a,,,,AIMER
aime,aimer,V,,s,1,PR,,,a,,,,AIMER
aimes,aimer,V,,s,2,PR,,,a,,,,AIMER
aime,aimer,V,,s,3,PR,,,a,,,,AIMER
aiment,aimer,V,,p,3,PR,,,a,,,,AIMER
aime,aimer,V,,s,1,S,,,a,,,,AIMER
aimes,aimer,V,,s,2,S,,,a,,,,AIMER
aime,aimer,V,,s,3,S,,,a,,,,AIMER
aiment,aimer,V,,p,3,S,,,a,,,,AIMER
aime,aimer,V,,s,2,IP,,,a,,,,AIMER
aimes,aimer,V,,s,2,IP,,,a,,,,AIMER
aimez,aimer,V,,p,2,IP,,,a,,,,AIMER
aimez,aimer,V,,p,2,PR,,,a,,,,AIMER
aimions,aimer,V,,p,1,I,,,a,,,,AIMER
aimiez,aimer,V,,p,2,I,,,a,,,,AIMER
aimèrent,aimer,V,,p,3,PS,,,a,,,,AIMER
aimions,aimer,V,,p,1,S,,,a,,,,AIMER
aimiez,aimer,V,,p,2,S,,,a,,,,AIMER
aimé,aimer,V,m,s,,PP,,,a,,,,AIMER
aimée,aimer,V,f,s,,PP,,,a,,,,AIMER
aimés,aimer,V,m,p,,PP,,,a,,,,AIMER
aimées,aimer,V,f,p,,PP,,,a,,,,AIMER
aimè-je,aimer,V,,s,1,PR,,,a,Rec,,,AIMER,,UNAMB
aimè-je,aimer,V,,s,1,S,,,a,Rec,,,AIMER,,UNAMB
aimé-je,aimer,V,,s,1,PR,,,a,Opt,,,AIMER,,UNAMB
aimé-je,aimer,V,,s,1,S,,,a,Opt,,,AIMER,,UNAMB
aimons,aimer,V,,p,1,IP,,,a,,,,AIMER
aimons,aimer,V,,p,1,PR,,,a,,,,AIMER
aimais,aimer,V,,s,1,I,,,a,,,,AIMER
aimais,aimer,V,,s,2,I,,,a,,,,AIMER
aimait,aimer,V,,s,3,I,,,a,,,,AIMER
aimaient,aimer,V,,p,3,I,,,a,,,,AIMER
aimai,aimer,V,,s,1,PS,,,a,,,,AIMER
aimas,aimer,V,,s,2,PS,,,a,,,,AIMER
aima,aimer,V,,s,3,PS,,,a,,,,AIMER
aimâmes,aimer,V,,p,1,PS,,,a,,,,AIMER
aimâtes,aimer,V,,p,2,PS,,,a,,,,AIMER
aimasse,aimer,V,,s,1,IS,,,a,,,,AIMER
aimasses,aimer,V,,s,2,IS,,,a,,,,AIMER
aimât,aimer,V,,s,3,IS,,,a,,,,AIMER
aimassions,aimer,V,,p,1,IS,,,a,,,,AIMER
aimassiez,aimer,V,,p,2,IS,,,a,,,,AIMER
aimassent,aimer,V,,p,3,IS,,,a,,,,AIMER
